Profile	Dataset	Topology	n	QE_H	QE_T	QE_B	MTR_H	MTR_T	MTR_B	Util_H	Util_T	Util_B	Dead_H	Dead_T	Dead_B
tuned	circles	rng	20	0.1562	0.1523	0.1542	3.7441	3.6653	3.7047	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
tuned	covertype	hexagonal	20	2.2611	2.2604	2.2608	27.3364	27.3276	27.3320	0.7955	0.7965	0.7960	0.2045	0.2035	0.2040
tuned	covertype	mst	20	2.2210	2.2207	2.2209	3.1564	3.1564	3.1564	0.8725	0.8715	0.8720	0.1275	0.1285	0.1280
tuned	covertype	rng	20	2.1854	2.1835	2.1844	2.8206	2.8178	2.8192	0.8865	0.8870	0.8867	0.1135	0.1130	0.1132
tuned	diabetes	hexagonal	20	1.6791	1.0986	1.3888	41.7611	38.9399	40.3505	0.6960	0.9800	0.8380	0.3040	0.0200	0.1620
tuned	diabetes	mst	20	1.6773	1.0906	1.3840	16.6558	9.5850	13.1204	0.6835	0.9995	0.8415	0.3165	5.00e-04	0.1585
tuned	diabetes	rng	20	1.6769	1.0967	1.3868	12.2733	6.2114	9.2424	0.6825	0.9970	0.8397	0.3175	0.0030	0.1603
tuned	digits	hexagonal	20	4.4170	3.8544	4.1357	36.8784	36.8120	36.8452	0.9050	0.9735	0.9393	0.0950	0.0265	0.0607
tuned	digits	mst	20	4.3875	3.8143	4.1009	7.6847	6.6297	7.1572	0.9415	0.9970	0.9692	0.0585	0.0030	0.0307
tuned	digits	rng	20	4.3877	3.8152	4.1014	6.3308	5.2171	5.7740	0.9365	0.9955	0.9660	0.0635	0.0045	0.0340
tuned	iris	hexagonal	20	0.3650	0.0874	0.2262	30.7106	24.6950	27.7028	0.3215	0.7235	0.5225	0.6785	0.2765	0.4775
tuned	iris	mst	20	0.3688	0.0814	0.2251	5.6300	2.0910	3.8605	0.3220	0.7600	0.5410	0.6780	0.2400	0.4590
tuned	iris	rng	20	0.3552	0.0611	0.2081	4.5694	1.8345	3.2020	0.3315	0.8020	0.5668	0.6685	0.1980	0.4332
tuned	kddcup99	hexagonal	20	0.3047	0.2982	0.3014	4.9441	4.9339	4.9390	0.9540	0.9695	0.9617	0.0460	0.0305	0.0382
tuned	kddcup99	mst	20	0.2893	0.2826	0.2860	2.0398	2.0344	2.0371	0.9620	0.9780	0.9700	0.0380	0.0220	0.0300
tuned	kddcup99	rng	20	0.2934	0.2881	0.2908	1.8173	1.8160	1.8166	0.9625	0.9740	0.9682	0.0375	0.0260	0.0318
tuned	moons	hexagonal	20	0.1317	0.1292	0.1304	28.7197	28.5455	28.6326	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
tuned	moons	mst	20	0.1315	0.1288	0.1301	6.9319	6.7384	6.8351	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
tuned	moons	rng	20	0.1315	0.1285	0.1300	3.5884	3.5222	3.5553	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
tuned	olivetti_faces	hexagonal	20	41.7747	27.3023	34.5385	43.2448	41.6179	42.4314	0.6285	0.9430	0.7857	0.3715	0.0570	0.2142
tuned	olivetti_faces	mst	20	41.3166	26.3826	33.8496	11.8723	6.8992	9.3857	0.6380	0.9770	0.8075	0.3620	0.0230	0.1925
tuned	olivetti_faces	rng	20	41.4380	26.7705	34.1043	8.7106	4.3695	6.5400	0.6360	0.9640	0.8000	0.3640	0.0360	0.2000
tuned	s_curve	hexagonal	20	0.3070	0.3016	0.3043	27.9434	27.9687	27.9560	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
tuned	s_curve	mst	20	0.3060	0.3005	0.3032	8.9435	8.6914	8.8175	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
tuned	s_curve	rng	20	0.3059	0.3005	0.3032	3.9253	3.8508	3.8881	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000
tuned	swiss_roll	hexagonal	20	0.2472	0.2430	0.2451	32.9706	32.9121	32.9413	0.9665	0.9665	0.9665	0.0335	0.0335	0.0335
tuned	swiss_roll	mst	20	0.2437	0.2394	0.2415	9.2023	8.9054	9.0538	0.9955	0.9955	0.9955	0.0045	0.0045	0.0045
tuned	swiss_roll	rng	20	0.2427	0.2388	0.2407	3.6234	3.5686	3.5960	0.9920	0.9920	0.9920	0.0080	0.0080	0.0080
tuned	wine	hexagonal	20	1.9856	0.6770	1.3313	32.2560	27.5770	29.9165	0.3710	0.7955	0.5833	0.6290	0.2045	0.4168
tuned	wine	mst	20	1.9633	0.5493	1.2563	10.4343	3.0798	6.7570	0.3760	0.8790	0.6275	0.6240	0.1210	0.3725
tuned	wine	rng	20	1.9598	0.4868	1.2233	9.8250	2.6490	6.2370	0.3835	0.9160	0.6498	0.6165	0.0840	0.3502
