metric	dataset	MST_effect_pct	MST_95pct_CI	MST_p	MST_q	RNG_effect_pct	RNG_95pct_CI	RNG_p	RNG_q
Train QE	s_curve	-0.2144	[-0.2961, -0.1327]	p=0.000219	q=0.00102	-0.2643	[-0.3584, -0.1702]	p=0.000132	q=0.000926
Train QE	swiss_roll	-0.2022	[-0.6787, 0.2742]	p=0.362	q=0.507	-0.3216	[-0.6867, 0.04341]	p=0.0774	q=0.108
Train QE	breast_cancer	0.9588	[-0.4954, 2.413]	p=0.17	q=0.34	-0.263	[-1.543, 1.016]	p=0.653	q=0.691
Train QE	wine	-17.32	[-23.63, -11.02]	p=0.000156	q=0.00102	-22.4	[-33.21, -11.6]	p=0.00114	q=0.00265
Train QE	iris	-5.888	[-28.17, 16.4]	p=0.565	q=0.608	-25.13	[-36.77, -13.48]	p=0.000872	q=0.00244
Train QE	digits	-0.2587	[-0.7176, 0.2002]	p=0.234	q=0.364	-0.3143	[-0.6485, 0.01992]	p=0.0623	q=0.0969
Train QE	olivetti_faces	-1.791	[-4.796, 1.215]	p=0.211	q=0.364	-1.553	[-4.04, 0.9338]	p=0.191	q=0.244
Train QE	diabetes	0.2611	[-1.533, 2.055]	p=0.75	q=0.75	-0.8799	[-2.463, 0.7033]	p=0.24	q=0.28
Train QE	california_housing	-0.3185	[-0.4766, -0.1604]	p=0.00137	q=0.00479	-0.2556	[-0.3834, -0.1278]	p=0.00144	q=0.00287
Train QE	covertype	-0.3468	[-1.407, 0.7137]	p=0.478	q=0.558	-0.1341	[-0.8722, 0.6039]	p=0.691	q=0.691
Train QE	kddcup99	-5.804	[-6.474, -5.134]	p=1.09e-08	q=1.52e-07	-4.183	[-5.557, -2.809]	p=7.18e-05	q=0.000926
Train QE	OVERALL	-2.241	[-3.842, -0.6405]	p=0.0064	q=NA	-4.033	[-5.707, -2.36]	p=4.69e-06	q=NA
